,Country/Region,ds,y
0,Sweden,2020-01-22,0
1,Sweden,2020-01-23,0
2,Sweden,2020-01-24,0
3,Sweden,2020-01-25,0
4,Sweden,2020-01-26,0
5,Sweden,2020-01-27,0
6,Sweden,2020-01-28,0
7,Sweden,2020-01-29,0
8,Sweden,2020-01-30,0
9,Sweden,2020-01-31,1
10,Sweden,2020-02-01,1
11,Sweden,2020-02-02,1
12,Sweden,2020-02-03,1
13,Sweden,2020-02-04,1
14,Sweden,2020-02-05,1
15,Sweden,2020-02-06,1
16,Sweden,2020-02-07,1
17,Sweden,2020-02-08,1
18,Sweden,2020-02-09,1
19,Sweden,2020-02-10,1
20,Sweden,2020-02-11,1
21,Sweden,2020-02-12,1
22,Sweden,2020-02-13,1
23,Sweden,2020-02-14,1
24,Sweden,2020-02-15,1
25,Sweden,2020-02-16,1
26,Sweden,2020-02-17,1
27,Sweden,2020-02-18,1
28,Sweden,2020-02-19,1
29,Sweden,2020-02-20,1
30,Sweden,2020-02-21,1
31,Sweden,2020-02-22,1
32,Sweden,2020-02-23,1
33,Sweden,2020-02-24,1
34,Sweden,2020-02-25,1
35,Sweden,2020-02-26,2
36,Sweden,2020-02-27,7
37,Sweden,2020-02-28,7
38,Sweden,2020-02-29,12
39,Sweden,2020-03-01,14
40,Sweden,2020-03-02,15
41,Sweden,2020-03-03,21
42,Sweden,2020-03-04,35
43,Sweden,2020-03-05,94
44,Sweden,2020-03-06,101
45,Sweden,2020-03-07,161
46,Sweden,2020-03-08,203
47,Sweden,2020-03-09,248
48,Sweden,2020-03-10,355
49,Sweden,2020-03-11,500
50,Sweden,2020-03-12,599
51,Sweden,2020-03-13,814
52,Sweden,2020-03-14,961
53,Sweden,2020-03-15,1022
54,Sweden,2020-03-16,1103
55,Sweden,2020-03-17,1190
56,Sweden,2020-03-18,1279
57,Sweden,2020-03-19,1439
58,Sweden,2020-03-20,1639
59,Sweden,2020-03-21,1763
60,Sweden,2020-03-22,1934
61,Sweden,2020-03-23,2046
62,Sweden,2020-03-24,2286
63,Sweden,2020-03-25,2526
64,Sweden,2020-03-26,2840
65,Sweden,2020-03-27,3069
66,Sweden,2020-03-28,3447
67,Sweden,2020-03-29,3700
68,Sweden,2020-03-30,4028
69,Sweden,2020-03-31,4435
70,Sweden,2020-04-01,4947
71,Sweden,2020-04-02,5568
72,Sweden,2020-04-03,6131
73,Sweden,2020-04-04,6443
74,Sweden,2020-04-05,6830
75,Sweden,2020-04-06,7206
76,Sweden,2020-04-07,7693
77,Sweden,2020-04-08,8419
78,Sweden,2020-04-09,9141
79,Sweden,2020-04-10,9685
80,Sweden,2020-04-11,10151
81,Sweden,2020-04-12,10483
82,Sweden,2020-04-13,10948
83,Sweden,2020-04-14,11445
84,Sweden,2020-04-15,11927
85,Sweden,2020-04-16,12540
86,Sweden,2020-04-17,13216
87,Sweden,2020-04-18,13822
88,Sweden,2020-04-19,14385
89,Sweden,2020-04-20,14777
90,Sweden,2020-04-21,15322
91,Sweden,2020-04-22,16004
92,Sweden,2020-04-23,16755
93,Sweden,2020-04-24,17567
94,Sweden,2020-04-25,18177
95,Sweden,2020-04-26,18640
96,Sweden,2020-04-27,18926
97,Sweden,2020-04-28,19621
98,Sweden,2020-04-29,20302
99,Sweden,2020-04-30,21092
100,Sweden,2020-05-01,21520
101,Sweden,2020-05-02,22082
102,Sweden,2020-05-03,22317
103,Sweden,2020-05-04,22721
104,Sweden,2020-05-05,23216
105,Sweden,2020-05-06,23918
106,Sweden,2020-05-07,24623
107,Sweden,2020-05-08,25265
108,Sweden,2020-05-09,25921
109,Sweden,2020-05-10,26322
110,Sweden,2020-05-11,26670
111,Sweden,2020-05-12,27272
112,Sweden,2020-05-13,27909
113,Sweden,2020-05-14,28582
114,Sweden,2020-05-15,29207
