,Date,Number
0,2020-03-11 00:00:00,1
1,2020-03-12 00:00:00,0
2,2020-03-13 00:00:00,1
3,2020-03-14 00:00:00,1
4,2020-03-15 00:00:00,2
5,2020-03-16 00:00:00,2
6,2020-03-17 00:00:00,1
7,2020-03-18 00:00:00,6
8,2020-03-19 00:00:00,7
9,2020-03-20 00:00:00,9
10,2020-03-21 00:00:00,8
11,2020-03-22 00:00:00,11
12,2020-03-23 00:00:00,11
13,2020-03-24 00:00:00,21
14,2020-03-25 00:00:00,22
15,2020-03-26 00:00:00,31
16,2020-03-27 00:00:00,32
17,2020-03-28 00:00:00,35
18,2020-03-29 00:00:00,38
19,2020-03-30 00:00:00,44
20,2020-03-31 00:00:00,49
21,2020-04-01 00:00:00,53
22,2020-04-02 00:00:00,70
23,2020-04-03 00:00:00,78
24,2020-04-04 00:00:00,72
25,2020-04-05 00:00:00,86
26,2020-04-06 00:00:00,90
27,2020-04-07 00:00:00,85
28,2020-04-08 00:00:00,115
29,2020-04-09 00:00:00,86
30,2020-04-10 00:00:00,90
31,2020-04-11 00:00:00,103
32,2020-04-12 00:00:00,97
33,2020-04-13 00:00:00,85
34,2020-04-14 00:00:00,91
35,2020-04-15 00:00:00,114
36,2020-04-16 00:00:00,110
37,2020-04-17 00:00:00,82
38,2020-04-18 00:00:00,89
39,2020-04-19 00:00:00,89
40,2020-04-20 00:00:00,83
41,2020-04-21 00:00:00,62
42,2020-04-22 00:00:00,76
43,2020-04-23 00:00:00,83
44,2020-04-24 00:00:00,85
45,2020-04-25 00:00:00,71
46,2020-04-26 00:00:00,72
47,2020-04-27 00:00:00,73
48,2020-04-28 00:00:00,72
49,2020-04-29 00:00:00,76
50,2020-04-30 00:00:00,70
51,2020-05-01 00:00:00,67
52,2020-05-02 00:00:00,62
53,2020-05-03 00:00:00,64
54,2020-05-04 00:00:00,60
55,2020-05-05 00:00:00,42
56,2020-05-06 00:00:00,38
57,2020-05-07 00:00:00,32
58,2020-05-08 00:00:00,13
59,2020-05-09 00:00:00,14
60,2020-05-10 00:00:00,9
61,2020-05-11 00:00:00,1
62,Uppgift saknas,14
